movie_title,tomatoUserRating,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoUserMeter,tomatoUserReviews,imdbVotes,Metascore
Legend of the Guardians The Owls of GaHoole,,,,,,,,,
Catwoman,2.2,3.1,195,17,178,18,274336,88538,27
Hercules,3.3,7,52,43,9,75,387897,146412,N/A
Treasure Planet,3.2,6.5,147,101,46,70,67561,73182,60
Land of the Lost,2.7,4.1,186,48,138,32,542410,52553,32
The Expendables 3,3.3,4.8,158,51,107,49,78136,130574,35
Point Break,3.4,6.1,57,39,18,79,132729,115432,58
Son of the Mask,2,2.8,104,6,98,15,38529,41500,20
In the Heart of the Sea,3.4,5.5,211,90,121,54,40017,80017,47
The Adventures of Pluto Nash,2,2.7,88,4,84,17,32635,20525,12
Green Zone,3.4,5.9,180,96,84,57,152500,111362,63
The Peanuts Movie,3.9,7,174,151,23,76,66456,30404,67
The Spanish Prisoner,3.7,7.4,59,52,7,81,7669,18768,70
The Mummy Returns,3.3,5.2,141,66,75,63,747644,250339,48
Gangs of New York,3.5,7.1,202,151,51,81,292699,318544,72
The Flowers of War,3.8,5.5,57,24,33,74,6594,39375,46
Surfs Up,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Stepford Wives,2.6,4.7,168,44,124,29,210563,50280,42
Black Hawk Down,3.7,6.9,172,130,42,88,472000,296848,74
The Campaign,3.3,5.9,198,127,71,51,122817,108065,50
The Fifth Element,3.7,6.3,59,42,17,87,585709,348726,52
Sex and the City 2,3.1,3.7,199,30,169,43,324264,60174,27
The Road to El Dorado,3.2,5.5,104,50,54,64,61902,59908,51
Ice Age Continental Drift,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A
Cinderella,3.9,7.1,211,176,35,78,76316,107815,67
The Lovely Bones,3.2,5,233,73,160,52,373152,126287,42
Finding Nemo,3.8,8.7,255,253,2,86,33354427,711153,90
The Lord of the Rings The Return of the King,3.7,8.7,262,248,14,86,34676847,1238528,94
The Lord of the Rings The Two Towers,4.1,8.5,248,237,11,95,1338647,1120701,88
Seventh Son,2.8,3.8,111,14,97,34,53492,56313,30
Lara Croft Tomb Raider,3,4.5,167,40,127,44,420615,104330,43
Transcendence,2.9,4.6,206,40,166,37,63886,176517,42
Jurassic Park III,3,5.2,163,82,81,36,525322,223414,42
Rise of the Planet of the Apes,4,7.1,250,204,46,77,446991,408801,68
The Spiderwick Chronicles,3.4,6.7,144,115,29,63,354770,69991,62
A Good Day to Die Hard,3,3.9,217,30,187,40,117241,167750,28
The Alamo,N/A,N/A,N/A,N/A,N/A,N/A,58,17004,47
The Incredibles,N/A,N/A,N/A,N/A,N/A,N/A,56,487597,90
Cutthroat Island,2.7,4.5,39,15,24,40,21726,21401,N/A
Percy Jackson  the Olympians The Lightning Thief,3.3,5.3,143,70,73,53,253713,143173,47
Men in Black,3.5,7.4,85,78,7,79,1047640,410553,71
Toy Story 2,3.5,8.6,163,163,0,86,997173,390987,88
Unstoppable,3.7,6.9,186,161,25,72,104063,152246,69
Rush Hour 2,3.3,5.5,127,66,61,74,893558,162056,48
What Lies Beneath,3.1,5.5,125,58,67,59,278676,99120,51
Cloudy with a Chance of Meatballs,3.2,7.3,139,121,18,71,487411,155824,66
Ice Age Dawn of the Dinosaurs,3.6,5.4,159,72,87,62,553580,170491,50
The Secret Life of Walter Mitty,3.7,6,182,92,90,70,78754,240753,54
Charlies Angels,,,,,,,,,
The Departed,4.1,8.2,264,239,25,94,734453,894160,85
Mulan,3.4,7.5,73,63,10,85,610174,176053,71
Tropic Thunder,3.5,7.1,234,193,41,70,295197,311483,71
The Girl with the Dragon Tattoo,4.1,7.6,224,193,31,86,117582,335242,71
Die Hard with a Vengeance,3.6,5.7,45,23,22,83,410789,302812,58
Sherlock Holmes,3.7,6.2,230,162,68,77,768487,483597,57
BenHur,,,,,,,,,
Atlantis The Lost Empire,2.9,5.5,141,69,72,52,364970,74223,52
Alvin and the Chipmunks The Road Chip,3.3,3.4,63,10,53,52,36527,10091,33
Valkyrie,3.4,6.1,193,119,74,65,238891,185736,56
You Dont Mess with the Zohan,,,,,,,,,
Pixels,3.1,3.8,170,28,142,46,69010,93925,27
A.I. Artificial Intelligence,3.1,6.6,190,139,51,64,413169,240501,65
The Haunted Mansion,2.6,4.2,136,18,118,30,134761,32631,34
Contact,3.2,6.8,63,39,24,78,202871,204174,62
Hollow Man,2.6,4.4,114,31,83,27,366482,103163,24
The Interpreter,3.1,6,192,108,84,54,79121,86730,62
Percy Jackson Sea of Monsters,3.4,5.1,113,47,66,55,103364,87775,39
Lara Croft Tomb Raider The Cradle of Life,3,4.5,167,40,127,44,420615,104330,43
Now You See Me 2,3.4,4.9,157,54,103,56,64874,115540,46
The Saint,3.1,4.6,45,13,32,63,67371,52645,50
Spy Game,3.3,6.2,132,87,45,75,113770,122211,63
Mission to Mars,2.4,N/A,N/A,N/A,N/A,20,56,61033,34
Rio,3.7,6.4,145,104,41,71,89722,167131,63
Bicentennial Man,3,4.8,95,35,60,58,359182,89380,42
Volcano,2.7,5,39,17,22,31,180402,59127,55
The Devils Own,,,,,,,,,
K19 The Widowmaker,,,,,,,,,
Fantastic Four,3.1,4.5,204,55,149,45,758497,271405,40
Conan the Barbarian,3.1,6.6,33,23,10,74,130826,114344,43
Cinderella Man,3.8,7.4,209,167,42,91,281639,150377,69
The Nutcracker in 3D,2.4,2.6,30,0,30,28,2781,2533,18
Seabiscuit,3.3,7.1,201,155,46,76,118181,58210,72
Twister,3.2,6,53,30,23,58,893591,145048,68
The Fast and the Furious,3.4,5.4,147,78,69,74,1042713,276381,58
Cast Away,3.5,7.4,154,138,16,83,742476,402988,73
Happy Feet,3.6,6.9,161,120,41,70,616679,134084,77
The Bourne Supremacy,3.9,7.2,190,154,36,90,707789,354200,73
Air Force One,3.2,7,54,42,12,66,378211,146031,61
Oceans Eleven,,,,,,,,,
The Three Musketeers,2.9,4.1,91,22,69,39,44438,89262,35
Hotel Transylvania,3.9,5.3,141,63,78,72,150373,168773,47
Enchanted,3.8,7.3,187,174,13,80,406695,144357,75
Hannibal,3.4,5.1,166,65,101,62,402551,210045,57
Safe House,3.6,5.7,177,94,83,64,118232,169333,52
102 Dalmatians,2.9,4.4,90,28,62,32,406400,26690,35
Tower Heist,3.3,6.2,185,125,60,48,57189,111448,59
The Holiday,3.7,5.5,135,63,72,80,506893,186266,52
Enemy of the State,3.5,6.4,84,60,24,78,372512,190435,67
Its Complicated,,,,,,,,,
Oceans Thirteen,,,,,,,,,
Open Season,3.4,5.4,100,48,52,57,468360,66343,49
Divergent,3.8,5.4,203,83,120,69,138840,346526,48
Enemy at the Gates,3.6,5.7,138,75,63,82,223247,192215,53
The Rundown,3.3,6.4,149,105,44,66,185569,83437,59
Last Action Hero,2.7,4.8,43,16,27,46,196456,108056,44
